se_id,strain_id,effect_id
1997,1997,8
1998,1998,4
1999,1999,8
2000,2000,10
2001,2001,2
2002,2002,10
2003,2003,5
2004,2004,10
2005,2005,10
2006,2006,8
2007,2007,8
2008,2008,14
2009,2009,14
2010,2010,10
2011,2011,8
2012,2012,6
2013,2013,10
2014,2014,8
2015,2015,8
2016,2016,8
2017,2017,8
2018,2018,14
2019,2019,14
2020,2020,10
2021,2021,9
2022,2022,10
2023,2023,10
2024,2024,5
2025,2025,9
2026,2026,5
2027,2027,9
2028,2028,10
2029,2029,12
2030,2030,2
2031,2031,6
2032,2032,9
2033,2033,8
2034,2034,2
2035,2035,9
2036,2036,10
2037,2037,10
2038,2038,8
2039,2039,8
2040,2040,10
2041,2041,14
2042,2042,8
2043,2043,8
2044,2044,10
2045,2045,5
2046,2046,13
2047,2047,2
2048,2048,8
2049,2049,8
2050,2050,10
2051,2051,8
2052,2052,10
2053,2053,8
2054,2054,8
2055,2055,10
2056,2056,14
2057,2057,14
2058,2058,10
2059,2059,8
2060,2060,5
2061,2061,8
2062,2062,8
2063,2063,10
2064,2064,10
2065,2065,10
2066,2066,5
2067,2067,8
2068,2068,10
2069,2069,10
2070,2070,9
2071,2071,10
2072,2072,10
2073,2073,10
2074,2074,10
2075,2075,10
2076,2076,8
2077,2077,5
2078,2078,11
2079,2079,1
2080,2080,9
2081,2081,8
2082,2082,9
2083,2083,10
2084,2084,8
2085,2085,5
2086,2086,4
2087,2087,10
2088,2088,10
2089,2089,5
2090,2090,10
2091,2091,4
2092,2092,9
2093,2093,10
2094,2094,10
2095,2095,6
2096,2096,10
2097,2097,1
2098,2098,4
2099,2099,5
2100,2100,10
2101,2101,11
2102,2102,9
2103,2103,5
2104,2104,10
2105,2105,9
2106,2106,8
2107,2107,8
2108,2108,12
2109,2109,10
2110,2110,5
2111,2111,8
2112,2112,13
2113,2113,5
2114,2114,8
2115,2115,13
2116,2116,14
2117,2117,13
2118,2118,12
2119,2119,8
2120,2120,4
2121,2121,12
2122,2122,8
2123,2123,10
2124,2124,14
2125,2125,13
2126,2126,8
2127,2127,5
2128,2128,2
2129,2129,14
2130,2130,4
2131,2131,14
2132,2132,14
2133,2133,10
2134,2134,14
2135,2135,14
2136,2136,8
2137,2137,14
2138,2138,5
2139,2139,5
2140,2140,9
2141,2141,14
2142,2142,5
2143,2143,7
2144,2144,5
2145,2145,10
2146,2146,8
2147,2147,13
2148,2148,8
2149,2149,11
2150,2150,10
2151,2151,14
2152,2152,10
2153,2153,8
2154,2154,10
2155,2155,1
2156,2156,10
2157,2157,12
2158,2158,5
2159,2159,10
2160,2160,8
2161,2161,5
2162,2162,9
2163,2163,5
2164,2164,10
2165,2165,8
2166,2166,10
2167,2167,10
2168,2168,8
2169,2169,8
2170,2170,5
2171,2171,8
2172,2172,8
2173,2173,5
2174,2174,4
2175,2175,9
2176,2176,8
2177,2177,11
2178,2178,8
2179,2179,10
2180,2180,8
2181,2181,10
2182,2182,11
2183,2183,10
2184,2184,10
2185,2185,6
2186,2186,8
2187,2187,10
2188,2188,10
2189,2189,10
2190,2190,13
2191,2191,8
2192,2192,10
2193,2193,10
2194,2194,14
2195,2195,8
2196,2196,8
2197,2197,5
2198,2198,10
2199,2199,14
2200,2200,1
2201,2201,12
2202,2202,10
2203,2203,9
2204,2204,8
2205,2205,8
2206,2206,8
2207,2207,2
2208,2208,4
2209,2209,10
2210,2210,10
2211,2211,8
2212,2212,10
2213,2213,5
2214,2214,11
2215,2215,10
2216,2216,14
2217,2217,10
2218,2218,8
2219,2219,10
2220,2220,14
2221,2221,11
2222,2222,10
2223,2223,5
2224,2224,8
2225,2225,10
2226,2226,11
2227,2227,14
2228,2228,8
2229,2229,14
2230,2230,10
2231,2231,6
2232,2232,8
2233,2233,8
2234,2234,8
2235,2235,5
2236,2236,10
2237,2237,8
2238,2238,9
2239,2239,4
2240,2240,8
2241,2241,14
2242,2242,10
2243,2243,10
2244,2244,8
2245,2245,4
2246,2246,2
2247,2247,10
2248,2248,10
2249,2249,8
2250,2250,8
2251,2251,8
2252,2252,10
2253,2253,2
2254,2254,10
2255,2255,10
2256,2256,10
2257,2257,10
2258,2258,9
2259,2259,10
2260,2260,10
2261,2261,14
2262,2262,10
2263,2263,4
2264,2264,10
2265,2265,10
2266,2266,7
2267,2267,8
2268,2268,5
2269,2269,10
2270,2270,9
2271,2271,10
2272,2272,10
2273,2273,10
2274,2274,10
2275,2275,10
2276,2276,4
2277,2277,10
2278,2278,4
2279,2279,10
2280,2280,10
2281,2281,8
2282,2282,12
2283,2283,10
2284,2284,10
2285,2285,2
2286,2286,2
2287,2287,10
2288,2288,10
2289,2289,12
2290,2290,8
2291,2291,8
2292,2292,10
2293,2293,14
2294,2294,10
2295,2295,8
2296,2296,10
2297,2297,10
2298,2298,10
2299,2299,9
2300,2300,10
2301,2301,14
2302,2302,10
2303,2303,14
2304,2304,12
2305,2305,8
2306,2306,1
2307,2307,11
2308,2308,10
2309,2309,8
2310,2310,12
2311,2311,8
2312,2312,8
2313,2313,8
2314,2314,10
2315,2315,5
2316,2316,14
2317,2317,5
2318,2318,10
2319,2319,8
2320,2320,5
2321,2321,8
2322,2322,10
2323,2323,2
2324,2324,10
2325,2325,12
2326,2326,8
2327,2327,14
2328,2328,13
2329,2329,10
2330,2330,10
2331,2331,11
2332,2332,8
2333,2333,10
2334,2334,10
2335,2335,6
2336,2336,8
2337,2337,10
2338,2338,10
2339,2339,11
2340,2340,14
2341,2341,10
2342,2342,14
2343,2343,13
2344,2344,8
2345,2345,8
2346,2346,8
2347,2347,8
2348,2348,10
2349,2349,10
2350,2350,10
2351,2351,9
2352,1,4
2353,2,1
2354,3,8
2355,4,2
2356,5,10
2357,7,5
2358,8,8
2359,9,6
2360,10,13
2361,11,8
2362,12,5
2363,13,6
2364,14,8
2365,15,14
2366,16,8
2367,18,11
2368,19,5
2369,20,6
2370,21,8
2371,22,5
2372,23,8
2373,24,10
2374,25,4
2375,26,5
2376,27,5
2377,28,14
2378,29,11
2379,30,5
2380,31,5
2381,32,8
2382,33,7
2383,34,5
2384,35,8
2385,36,14
2386,37,10
2387,38,11
2388,39,10
2389,40,11
2390,41,10
2391,42,10
2392,43,4
2393,44,11
2394,45,14
2395,46,8
2396,47,11
2397,48,10
2398,49,5
2399,50,11
2400,51,8
2401,52,5
2402,53,2
2403,54,4
2404,56,10
2405,57,8
2406,58,14
2407,59,8
2408,60,10
2409,61,4
2410,62,11
2411,63,14
2412,64,14
2413,65,5
2414,66,5
2415,67,11
2416,68,2
2417,69,5
2418,70,10
2419,71,4
2420,72,2
2421,73,11
2422,74,11
2423,75,10
2424,76,10
2425,77,12
2426,78,5
2427,79,8
2428,80,14
2429,81,8
2430,82,8
2431,83,10
2432,84,8
2433,85,10
2434,86,8
2435,87,5
2436,88,14
2437,89,11
2438,90,14
2439,91,14
2440,92,2
2441,93,14
2442,94,8
2443,96,6
2444,97,6
2445,98,2
2446,99,14
2447,100,5
2448,101,5
2449,102,13
2450,103,2
2451,104,2
2452,105,8
2453,106,5
2454,108,5
2455,109,10
2456,110,5
2457,111,11
2458,112,10
2459,113,8
2460,114,11
2461,115,11
2462,116,10
2463,117,8
2464,118,5
2465,119,5
2466,120,2
2467,121,10
2468,122,5
2469,123,8
2470,124,13
2471,125,10
2472,126,14
2473,127,14
2474,128,14
2475,129,14
2476,130,6
2477,131,7
2478,132,11
2479,133,8
2480,134,9
2481,135,8
2482,136,4
2483,137,14
2484,138,5
2485,139,10
2486,140,14
2487,141,14
2488,142,10
2489,143,5
2490,144,11
2491,145,13
2492,146,6
2493,147,14
2494,148,5
2495,149,14
2496,150,8
2497,151,10
2498,152,10
2499,153,8
2500,154,14
2501,155,5
2502,156,14
2503,157,8
2504,158,6
2505,159,8
2506,160,8
2507,162,10
2508,163,8
2509,164,5
2510,165,2
2511,166,14
2512,167,10
2513,168,8
2514,169,5
2515,170,4
2516,171,8
2517,172,14
2518,173,2
2519,174,5
2520,175,10
2521,176,9
2522,177,10
2523,178,8
2524,179,5
2525,180,11
2526,181,5
2527,182,14
2528,183,11
2529,184,12
2530,185,11
2531,186,11
2532,187,8
2533,189,8
2534,190,14
2535,191,5
2536,192,10
2537,193,5
2538,194,4
2539,195,2
2540,196,14
2541,197,11
2542,198,5
2543,199,8
2544,200,11
2545,201,5
2546,202,10
2547,203,14
2548,204,10
2549,205,1
2550,206,14
2551,207,13
2552,208,10
2553,209,14
2554,210,14
2555,211,13
2556,212,6
2557,213,8
2558,214,10
2559,215,5
2560,216,14
2561,217,8
2562,218,11
2563,219,11
2564,220,10
2565,221,10
2566,222,10
2567,223,14
2568,224,14
2569,225,8
2570,226,8
2571,227,8
2572,228,8
2573,229,5
2574,230,5
2575,231,11
2576,232,8
2577,233,10
2578,234,14
2579,235,8
2580,236,10
2581,237,10
2582,238,10
2583,239,11
2584,240,11
2585,241,8
2586,242,8
2587,243,10
2588,244,5
2589,245,8
2590,246,2
2591,247,8
2592,248,4
2593,249,4
2594,250,8
2595,251,11
2596,252,10
2597,253,11
2598,254,14
2599,255,2
2600,256,8
2601,257,5
2602,258,8
2603,259,11
2604,260,4
2605,261,12
2606,263,12
2607,264,8
2608,265,10
2609,266,14
2610,267,10
2611,268,14
2612,269,14
2613,270,8
2614,271,8
2615,272,8
2616,273,14
2617,274,11
2618,275,10
2619,276,5
2620,277,8
2621,278,8
2622,279,14
2623,280,5
2624,281,10
2625,282,10
2626,283,5
2627,284,8
2628,285,14
2629,286,8
2630,287,5
2631,288,8
2632,289,8
2633,290,8
2634,291,14
2635,292,8
2636,293,14
2637,294,5
2638,295,11
2639,296,6
2640,297,14
2641,298,12
2642,299,14
2643,300,5
2644,301,14
2645,302,5
2646,303,6
2647,304,8
2648,305,9
2649,306,8
2650,307,10
2651,308,10
2652,309,10
2653,310,10
2654,311,12
2655,312,8
2656,313,10
2657,314,13
2658,315,13
2659,316,10
2660,317,8
2661,318,10
2662,319,10
2663,320,8
2664,321,14
2665,323,6
2666,324,10
2667,325,5
2668,326,8
2669,327,8
2670,328,8
2671,329,2
2672,330,5
2673,331,8
2674,332,10
2675,333,14
2676,335,10
2677,336,8
2678,337,11
2679,338,8
2680,339,5
2681,340,8
2682,341,8
2683,342,8
2684,343,8
2685,344,5
2686,345,9
2687,346,11
2688,347,8
2689,348,14
2690,349,10
2691,350,10
2692,351,14
2693,353,14
2694,354,14
2695,355,10
2696,357,14
2697,358,5
2698,359,2
2699,360,8
2700,362,12
2701,363,10
2702,364,6
2703,366,7
2704,367,5
2705,368,8
2706,369,10
2707,371,6
2708,372,8
2709,373,6
2710,374,10
2711,375,8
2712,376,5
2713,377,14
2714,378,10
2715,380,5
2716,381,10
2717,382,1
2718,383,5
2719,384,10
2720,385,8
2721,387,11
2722,389,8
2723,390,10
2724,391,8
2725,392,5
2726,393,13
2727,394,5
2728,395,9
2729,396,10
2730,397,10
2731,398,8
2732,399,6
2733,400,10
2734,401,10
2735,402,8
2736,403,8
2737,404,5
2738,405,11
2739,406,14
2740,407,8
2741,408,11
2742,409,10
2743,411,11
2744,412,5
2745,413,2
2746,415,9
2747,416,8
2748,417,8
2749,418,11
2750,419,8
2751,420,8
2752,421,8
2753,422,10
2754,423,11
2755,425,13
2756,426,7
2757,427,8
2758,429,8
2759,430,5
2760,431,11
2761,432,10
2762,433,8
2763,434,8
2764,435,10
2765,436,2
2766,437,10
2767,438,10
2768,440,12
2769,441,8
2770,442,11
2771,443,4
2772,444,14
2773,445,8
2774,446,5
2775,447,8
2776,448,10
2777,449,8
2778,450,8
2779,451,8
2780,452,13
2781,453,14
2782,454,10
2783,455,8
2784,457,14
2785,458,8
2786,459,5
2787,460,8
2788,461,10
2789,462,14
2790,463,13
2791,464,8
2792,465,5
2793,466,11
2794,467,14
2795,468,8
2796,469,2
2797,470,10
2798,471,5
2799,472,8
2800,473,8
2801,474,14
2802,475,5
2803,476,14
2804,477,8
2805,478,14
2806,479,14
2807,480,14
2808,481,10
2809,482,4
2810,483,8
2811,484,14
2812,485,2
2813,486,5
2814,487,5
2815,488,5
2816,489,12
2817,490,8
2818,491,4
2819,492,5
2820,493,14
2821,494,8
2822,495,10
2823,496,5
2824,497,5
2825,498,4
2826,499,5
2827,500,14
2828,501,8
2829,502,12
2830,503,14
2831,504,5
2832,505,5
2833,506,7
2834,508,8
2835,509,5
2836,510,14
2837,511,5
2838,512,10
2839,513,10
2840,514,10
2841,515,13
2842,516,7
2843,517,8
2844,518,14
2845,519,8
2846,520,5
2847,521,5
2848,522,8
2849,523,5
2850,524,5
2851,526,11
2852,527,4
2853,528,5
2854,529,10
2855,530,8
2856,531,11
2857,533,14
2858,534,8
2859,535,14
2860,536,8
2861,537,2
2862,539,14
2863,540,2
2864,541,8
2865,542,8
2866,543,8
2867,544,8
2868,545,10
2869,546,10
2870,547,8
2871,548,14
2872,549,14
2873,550,5
2874,551,14
2875,552,8
2876,553,5
2877,554,8
2878,555,8
2879,556,5
2880,557,14
2881,558,4
2882,559,5
2883,560,14
2884,561,8
2885,562,4
2886,563,10
2887,564,6
2888,565,8
2889,566,8
2890,567,5
2891,568,12
2892,569,8
2893,570,14
2894,571,8
2895,572,11
2896,573,5
2897,574,14
2898,575,10
2899,576,4
2900,577,10
2901,578,8
2902,579,10
2903,580,8
2904,581,11
2905,582,8
2906,583,10
2907,584,8
2908,585,8
2909,586,10
2910,587,5
2911,588,5
2912,589,5
2913,590,4
2914,591,8
2915,592,14
2916,593,14
2917,594,2
2918,595,14
2919,596,8
2920,597,8
2921,598,14
2922,599,11
2923,600,8
2924,601,6
2925,602,8
2926,603,8
2927,604,2
2928,605,6
2929,606,8
2930,607,8
2931,608,8
2932,609,10
2933,610,11
2934,611,10
2935,612,5
2936,613,13
2937,615,8
2938,616,8
2939,617,8
2940,618,8
2941,619,8
2942,620,5
2943,621,14
2944,622,2
2945,623,10
2946,624,8
2947,625,4
2948,626,5
2949,627,10
2950,628,10
2951,629,11
2952,630,8
2953,631,8
2954,632,10
2955,633,10
2956,634,8
2957,635,14
2958,636,8
2959,637,5
2960,638,11
2961,639,11
2962,640,10
2963,641,11
2964,642,10
2965,643,10
2966,644,5
2967,645,10
2968,646,12
2969,647,11
2970,648,8
2971,649,8
2972,650,14
2973,651,10
2974,652,8
2975,653,5
2976,654,8
2977,655,11
2978,656,11
2979,657,14
2980,658,8
2981,659,6
2982,660,13
2983,661,11
2984,662,10
2985,663,10
2986,664,8
2987,665,11
2988,666,14
2989,667,10
2990,668,8
2991,670,4
2992,671,2
2993,672,10
2994,673,14
2995,674,14
2996,675,5
2997,676,14
2998,677,5
2999,678,8
3000,679,11
3001,680,8
3002,681,5
3003,682,10
3004,683,5
3005,684,13
3006,685,4
3007,686,5
3008,687,5
3009,688,5
3010,689,8
3011,690,10
3012,691,14
3013,692,5
3014,693,8
3015,694,2
3016,695,14
3017,696,8
3018,697,2
3019,699,10
3020,700,8
3021,701,4
3022,703,8
3023,704,8
3024,705,14
3025,706,10
3026,707,14
3027,708,11
3028,709,14
3029,710,12
3030,711,14
3031,712,2
3032,713,5
3033,714,4
3034,715,8
3035,716,10
3036,717,5
3037,718,14
3038,719,8
3039,720,8
3040,721,6
3041,722,10
3042,723,10
3043,724,4
3044,725,10
3045,726,10
3046,727,5
3047,728,8
3048,729,14
3049,730,14
3050,731,5
3051,732,8
3052,733,5
3053,734,9
3054,735,14
3055,736,11
3056,737,5
3057,738,5
3058,739,5
3059,740,5
3060,741,8
3061,742,10
3062,743,11
3063,744,2
3064,745,5
3065,746,10
3066,747,10
3067,748,8
3068,749,10
3069,750,11
3070,751,10
3071,752,13
3072,753,8
3073,754,14
3074,755,14
3075,756,8
3076,757,8
3077,758,8
3078,759,10
3079,760,14
3080,761,14
3081,762,14
3082,763,11
3083,764,10
3084,765,10
3085,766,1
3086,767,8
3087,768,5
3088,770,8
3089,771,14
3090,773,8
3091,774,11
3092,775,2
3093,776,11
3094,777,8
3095,778,10
3096,779,11
3097,780,11
3098,781,10
3099,782,11
3100,783,10
3101,784,10
3102,785,8
3103,786,14
3104,787,8
3105,788,5
3106,789,8
3107,791,8
3108,792,8
3109,793,6
3110,794,8
3111,795,8
3112,796,6
3113,797,10
3114,798,14
3115,799,10
3116,800,10
3117,801,10
3118,802,10
3119,803,2
3120,804,8
3121,805,8
3122,806,12
3123,807,9
3124,808,5
3125,809,8
3126,810,11
3127,811,10
3128,812,11
3129,813,8
3130,814,10
3131,815,9
3132,816,13
3133,817,10
3134,818,10
3135,820,8
3136,821,4
3137,822,8
3138,823,5
3139,824,10
3140,825,11
3141,826,8
3142,827,8
3143,828,2
3144,829,10
3145,830,13
3146,831,5
3147,833,10
3148,834,8
3149,835,8
3150,836,10
3151,837,5
3152,838,5
3153,839,8
3154,840,8
3155,841,6
3156,842,5
3157,843,8
3158,844,6
3159,845,10
3160,846,14
3161,847,6
3162,848,8
3163,849,10
3164,850,10
3165,851,8
3166,852,13
3167,853,10
3168,854,8
3169,855,10
3170,856,14
3171,857,4
3172,858,8
3173,859,8
3174,860,14
3175,861,8
3176,862,8
3177,863,14
3178,864,8
3179,865,10
3180,866,4
3181,867,14
3182,868,10
3183,869,14
3184,870,5
3185,871,10
3186,872,8
3187,873,8
3188,874,8
3189,875,8
3190,876,11
3191,877,10
3192,878,5
3193,880,6
3194,881,8
3195,882,5
3196,883,9
3197,884,6
3198,885,10
3199,886,8
3200,887,13
3201,888,14
3202,889,4
3203,890,8
3204,891,10
3205,892,2
3206,893,8
3207,894,5
3208,896,10
3209,897,8
3210,898,5
3211,899,14
3212,900,8
3213,901,11
3214,902,1
3215,903,4
3216,904,5
3217,905,8
3218,906,14
3219,907,8
3220,908,10
3221,909,8
3222,910,8
3223,911,10
3224,912,11
3225,913,8
3226,914,8
3227,915,8
3228,916,5
3229,917,11
3230,918,2
3231,919,2
3232,920,14
3233,922,2
3234,923,8
3235,924,8
3236,925,14
3237,926,8
3238,927,10
3239,928,10
3240,929,8
3241,930,10
3242,931,11
3243,932,4
3244,933,4
3245,934,8
3246,935,14
3247,936,9
3248,937,5
3249,938,14
3250,939,8
3251,940,8
3252,941,10
3253,942,8
3254,943,2
3255,944,10
3256,945,8
3257,946,14
3258,947,5
3259,948,10
3260,949,12
3261,950,14
3262,951,9
3263,952,4
3264,953,10
3265,954,9
3266,955,14
3267,956,10
3268,957,8
3269,958,5
3270,959,9
3271,960,8
3272,961,10
3273,962,2
3274,963,8
3275,964,5
3276,965,10
3277,966,10
3278,967,2
3279,968,5
3280,969,11
3281,970,8
3282,971,14
3283,972,5
3284,973,14
3285,974,14
3286,975,8
3287,976,11
3288,977,10
3289,978,11
3290,979,11
3291,980,8
3292,981,1
3293,982,5
3294,983,10
3295,984,8
3296,985,8
3297,986,8
3298,987,8
3299,988,6
3300,989,12
3301,990,14
3302,991,2
3303,992,8
3304,993,5
3305,994,8
3306,995,11
3307,996,8
3308,997,5
3309,998,14
3310,999,10
3311,1000,10
3312,1001,10
3313,1002,2
3314,1003,10
3315,1004,6
3316,1005,8
3317,1006,2
3318,1007,8
3319,1008,8
3320,1009,5
3321,1010,8
3322,1011,2
3323,1012,8
3324,1013,2
3325,1014,14
3326,1015,5
3327,1016,14
3328,1017,8
3329,1018,1
3330,1019,12
3331,1020,6
3332,1021,8
3333,1022,8
3334,1023,6
3335,1024,10
3336,1025,14
3337,1026,4
3338,1027,8
3339,1028,10
3340,1029,5
3341,1030,5
3342,1031,10
3343,1032,14
3344,1033,5
3345,1034,14
3346,1035,11
3347,1036,14
3348,1037,14
3349,1038,8
3350,1039,10
3351,1040,5
3352,1041,11
3353,1042,5
3354,1043,8
3355,1044,14
3356,1045,5
3357,1046,14
3358,1047,8
3359,1048,5
3360,1049,8
3361,1050,5
3362,1051,8
3363,1053,10
3364,1054,8
3365,1055,10
3366,1056,10
3367,1057,8
3368,1058,10
3369,1059,5
3370,1060,13
3371,1061,11
3372,1062,2
3373,1063,11
3374,1064,8
3375,1065,10
3376,1066,4
3377,1067,4
3378,1068,5
3379,1070,8
3380,1071,14
3381,1072,10
3382,1073,10
3383,1074,10
3384,1075,5
3385,1076,8
3386,1077,7
3387,1078,11
3388,1079,14
3389,1080,8
3390,1081,5
3391,1082,14
3392,1083,5
3393,1084,7
3394,1085,8
3395,1086,5
3396,1087,7
3397,1088,14
3398,1089,13
3399,1090,10
3400,1091,9
3401,1092,4
3402,1093,8
3403,1094,11
3404,1095,5
3405,1096,11
3406,1097,8
3407,1098,5
3408,1099,5
3409,1100,4
3410,1101,14
3411,1102,4
3412,1103,10
3413,1104,8
3414,1105,14
3415,1106,8
3416,1107,4
3417,1108,6
3418,1109,2
3419,1110,10
3420,1111,14
3421,1113,4
3422,1114,5
3423,1115,2
3424,1116,8
3425,1117,5
3426,1118,10
3427,1119,8
3428,1120,7
3429,1121,8
3430,1122,10
3431,1123,8
3432,1124,10
3433,1125,14
3434,1126,10
3435,1127,8
3436,1128,8
3437,1129,4
3438,1130,14
3439,1131,1
3440,1132,10
3441,1133,8
3442,1134,14
3443,1135,5
3444,1136,14
3445,1137,9
3446,1138,8
3447,1139,7
3448,1140,11
3449,1141,8
3450,1142,13
3451,1143,8
3452,1144,5
3453,1145,8
3454,1146,14
3455,1147,5
3456,1148,8
3457,1149,11
3458,1150,8
3459,1151,6
3460,1152,8
3461,1153,13
3462,1154,10
3463,1155,8
3464,1156,8
3465,1157,5
3466,1158,8
3467,1159,14
3468,1160,8
3469,1162,2
3470,1163,10
3471,1164,14
3472,1165,6
3473,1166,11
3474,1167,10
3475,1168,5
3476,1169,2
3477,1170,14
3478,1171,11
3479,1172,4
3480,1173,4
3481,1174,8
3482,1175,8
3483,1176,10
3484,1177,10
3485,1178,9
3486,1179,5
3487,1180,10
3488,1181,6
3489,1182,11
3490,1183,14
3491,1184,4
3492,1185,8
3493,1186,11
3494,1187,5
3495,1188,6
3496,1189,11
3497,1190,10
3498,1191,8
3499,1193,9
3500,1194,1
3501,1195,14
3502,1196,8
3503,1197,8
3504,1198,11
3505,1199,10
3506,1200,5
3507,1201,8
3508,1202,8
3509,1203,8
3510,1204,5
3511,1205,11
3512,1206,2
3513,1207,14
3514,1208,5
3515,1209,2
3516,1210,6
3517,1211,11
3518,1212,8
3519,1213,11
3520,1214,11
3521,1215,2
3522,1216,4
3523,1217,13
3524,1218,8
3525,1219,8
3526,1220,2
3527,1221,10
3528,1222,8
3529,1223,5
3530,1224,5
3531,1225,5
3532,1226,4
3533,1227,10
3534,1228,10
3535,1229,2
3536,1230,9
3537,1231,11
3538,1232,14
3539,1233,2
3540,1234,5
3541,1235,11
3542,1236,5
3543,1237,8
3544,1238,8
3545,1239,5
3546,1240,5
3547,1241,7
3548,1242,8
3549,1243,14
3550,1244,10
3551,1246,12
3552,1247,6
3553,1248,5
3554,1249,11
3555,1250,11
3556,1252,5
3557,1253,6
3558,1254,2
3559,1255,13
3560,1256,4
3561,1257,14
3562,1259,8
3563,1260,8
3564,1261,5
3565,1262,14
3566,1263,5
3567,1264,14
3568,1265,5
3569,1266,4
3570,1268,8
3571,1269,6
3572,1270,8
3573,1271,8
3574,1272,8
3575,1273,5
3576,1274,5
3577,1275,5
3578,1276,14
3579,1277,8
3580,1278,14
3581,1279,2
3582,1280,4
3583,1281,14
3584,1282,14
3585,1284,1
3586,1285,2
3587,1286,14
3588,1287,5
3589,1288,14
3590,1289,5
3591,1290,14
3592,1291,10
3593,1292,2
3594,1293,5
3595,1294,2
3596,1295,14
3597,1296,11
3598,1297,4
3599,1298,5
3600,1299,8
3601,1300,8
3602,1301,7
3603,1302,4
3604,1303,8
3605,1304,5
3606,1306,6
3607,1307,8
3608,1308,12
3609,1309,8
3610,1310,14
3611,1311,10
3612,1313,4
3613,1314,9
3614,1315,5
3615,1316,8
3616,1317,11
3617,1318,11
3618,1319,1
3619,1320,5
3620,1321,5
3621,1322,14
3622,1323,14
3623,1324,10
3624,1325,14
3625,1326,11
3626,1327,14
3627,1328,8
3628,1329,11
3629,1330,6
3630,1331,8
3631,1332,6
3632,1333,10
3633,1334,13
3634,1335,8
3635,1336,12
3636,1337,14
3637,1338,10
3638,1339,2
3639,1340,11
3640,1341,8
3641,1342,14
3642,1343,10
3643,1344,10
3644,1345,8
3645,1346,6
3646,1347,8
3647,1348,11
3648,1349,4
3649,1350,14
3650,1351,6
3651,1352,10
3652,1353,1
3653,1354,11
3654,1355,8
3655,1356,8
3656,1358,5
3657,1359,5
3658,1360,8
3659,1361,11
3660,1362,14
3661,1363,8
3662,1364,5
3663,1365,11
3664,1366,13
3665,1367,8
3666,1368,14
3667,1369,2
3668,1370,14
3669,1371,4
3670,1372,2
3671,1373,10
3672,1374,5
3673,1375,14
3674,1376,11
3675,1377,11
3676,1378,14
3677,1379,8
3678,1380,10
3679,1381,14
3680,1382,8
3681,1383,8
3682,1384,8
3683,1385,8
3684,1386,2
3685,1387,10
3686,1388,14
3687,1389,9
3688,1390,5
3689,1391,9
3690,1392,8
3691,1393,11
3692,1394,8
3693,1395,5
3694,1396,14
3695,1397,9
3696,1398,8
3697,1399,8
3698,1400,5
3699,1401,14
3700,1402,8
3701,1403,10
3702,1404,8
3703,1405,14
3704,1406,5
3705,1407,5
3706,1408,8
3707,1409,5
3708,1410,8
3709,1411,5
3710,1412,2
3711,1413,11
3712,1414,8
3713,1415,11
3714,1416,8
3715,1417,10
3716,1418,8
3717,1419,6
3718,1420,5
3719,1421,5
3720,1422,5
3721,1423,14
3722,1424,4
3723,1425,5
3724,1426,6
3725,1427,6
3726,1428,2
3727,1429,2
3728,1430,8
3729,1431,8
3730,1432,8
3731,1433,14
3732,1434,14
3733,1435,8
3734,1436,12
3735,1437,8
3736,1438,6
3737,1439,8
3738,1440,14
3739,1441,10
3740,1443,5
3741,1444,8
3742,1445,5
3743,1446,14
3744,1447,8
3745,1448,2
3746,1449,8
3747,1450,14
3748,1451,4
3749,1452,14
3750,1454,14
3751,1455,6
3752,1456,2
3753,1457,7
3754,1458,5
3755,1459,12
3756,1460,5
3757,1461,11
3758,1462,11
3759,1463,11
3760,1464,14
3761,1465,5
3762,1466,8
3763,1467,10
3764,1468,8
3765,1469,6
3766,1470,5
3767,1471,8
3768,1472,11
3769,1473,2
3770,1474,11
3771,1475,14
3772,1476,12
3773,1477,10
3774,1478,5
3775,1479,5
3776,1480,2
3777,1482,5
3778,1483,8
3779,1484,10
3780,1485,10
3781,1486,8
3782,1487,2
3783,1488,11
3784,1490,2
3785,1491,5
3786,1492,10
3787,1493,11
3788,1494,14
3789,1495,8
3790,1496,8
3791,1497,10
3792,1498,11
3793,1499,10
3794,1500,14
3795,1501,5
3796,1502,10
3797,1503,2
3798,1504,4
3799,1505,5
3800,1506,8
3801,1507,4
3802,1508,8
3803,1509,10
3804,1510,8
3805,1511,10
3806,1512,8
3807,1514,10
3808,1515,4
3809,1516,14
3810,1517,8
3811,1518,5
3812,1519,9
3813,1520,5
3814,1521,10
3815,1522,8
3816,1523,10
3817,1524,5
3818,1525,5
3819,1526,8
3820,1527,8
3821,1528,8
3822,1529,6
3823,1530,5
3824,1531,12
3825,1532,14
3826,1533,10
3827,1534,5
3828,1535,8
3829,1537,10
3830,1538,10
3831,1539,2
3832,1540,10
3833,1541,2
3834,1542,8
3835,1543,7
3836,1544,5
3837,1545,8
3838,1546,5
3839,1547,7
3840,1548,9
3841,1549,2
3842,1550,14
3843,1551,5
3844,1552,7
3845,1553,8
3846,1554,6
3847,1555,10
3848,1556,8
3849,1557,8
3850,1558,8
3851,1559,10
3852,1560,4
3853,1561,9
3854,1562,5
3855,1563,4
3856,1564,6
3857,1565,11
3858,1566,8
3859,1567,1
3860,1569,10
3861,1570,8
3862,1571,14
3863,1572,8
3864,1573,5
